"","date","pm10_max"
"1050",2020-08-25,51
"1051",2020-08-26,56
"1052",2020-08-27,56
"1053",2020-08-28,70
"1054",2020-08-29,88
"1055",2020-08-30,91
"1056",2020-08-31,79
"1057",2020-09-01,130
"1058",2020-09-02,131
"1059",2020-09-03,116
"1060",2020-09-04,94
"1061",2020-09-05,60
"1062",2020-09-06,31
"1063",2020-09-07,50
"1064",2020-09-08,103
"1065",2020-09-09,95
"1066",2020-09-10,60
"1067",2020-09-11,55
"1068",2020-09-12,75
"1069",2020-09-13,47
"1070",2020-09-14,140
"1071",2020-09-15,50
"1072",2020-09-16,58
"1073",2020-09-17,53
"1074",2020-09-18,45
"1075",2020-09-19,82
"1076",2020-09-20,79
"1077",2020-09-21,99
"1078",2020-09-22,83
"1079",2020-09-23,104
"1080",2020-09-24,108
"1081",2020-09-25,89
"1082",2020-09-26,88
"1083",2020-09-27,65
"1084",2020-09-28,100
"1085",2020-09-29,53
"1086",2020-09-30,126
"1087",2020-10-01,157
"1088",2020-10-02,83
"1089",2020-10-03,122
"1090",2020-10-04,67
"1091",2020-10-05,154
"1092",2020-10-06,142
"1093",2020-10-07,161
"1094",2020-10-08,139
"1095",2020-10-09,159
"1096",2020-10-10,184
"1097",2020-10-11,126
"1098",2020-10-12,87
"1099",2020-10-13,140
"1100",2020-10-14,94
"1101",2020-10-15,161
"1102",2020-10-16,130
"1103",2020-10-17,85
"1104",2020-10-18,123
"1105",2020-10-19,140
"1106",2020-10-20,132
"1107",2020-10-21,122
"1108",2020-10-22,123
"1109",2020-10-23,247
"1110",2020-10-24,175
"1111",2020-10-25,114
"1112",2020-10-26,240
"1113",2020-10-27,214
"1114",2020-10-28,196
"1115",2020-10-29,179
"1116",2020-10-30,88
"1117",2020-10-31,117
"1118",2020-11-01,334
"1119",2020-11-02,123
"1120",2020-11-03,123
"1121",2020-11-04,187
"1122",2020-11-05,141
"1123",2020-11-06,146
"1124",2020-11-07,211
"1125",2020-11-08,150
"1126",2020-11-09,183
"1127",2020-11-10,202
"1128",2020-11-11,286
"1129",2020-11-12,256
"1130",2020-11-13,226
"1131",2020-11-14,221
"1132",2020-11-15,355
"1133",2020-11-16,227
"1134",2020-11-17,101
"1135",2020-11-18,67
"1136",2020-11-19,197
"1137",2020-11-20,103
"1138",2020-11-21,103
"1139",2020-11-22,68
"1140",2020-11-23,155
"1141",2020-11-24,151
"1142",2020-11-25,269
"1143",2020-11-26,195
"1144",2020-11-27,164
"1145",2020-11-28,261
"1146",2020-11-29,188
"1147",2020-11-30,187
"1148",2020-12-01,125
"1149",2020-12-02,160
